No,アプリ名,ProductName,AppIDAndroid,AppIDiOS,InterstitialIDAndroid,InterstitialIDiOS,BannerIDAndroid,BannerIDiOS,OpenAdIDAndroid,OpenAdIDiOS
18,Kanji3,Kanji 3rd,ca-app-pub-8977626552204439~5981751909,ca-app-pub-8977626552204439~5845164302,ca-app-pub-8977626552204439/6074524038,ca-app-pub-8977626552204439/8292782827,ca-app-pub-8977626552204439/8506188203,ca-app-pub-8977626552204439/2110517854,ca-app-pub-8977626552204439/6420489374,ca-app-pub-8977626552204439/4177469414
19,Kanji4,Kanji 4th,ca-app-pub-8977626552204439~3468937502,ca-app-pub-8977626552204439~3890753106,ca-app-pub-8977626552204439/4134045962,ca-app-pub-8977626552204439/7498575909,ca-app-pub-8977626552204439/6951780998,ca-app-pub-8977626552204439/1124739240,ca-app-pub-8977626552204439/3945002299,ca-app-pub-8977626552204439/7588169187
20,Kanji5,Kanji 5th,ca-app-pub-8977626552204439~1713002709,ca-app-pub-8977626552204439~7204146302,ca-app-pub-8977626552204439/5524161012,ca-app-pub-8977626552204439/7687930553,ca-app-pub-8977626552204439/9654977711,ca-app-pub-8977626552204439/3800656433,ca-app-pub-8977626552204439/4513646804,ca-app-pub-8977626552204439/4302163310
21,Kanji6,Kanji 6th,ca-app-pub-8977626552204439~9096668709,ca-app-pub-8977626552204439~7784399101,ca-app-pub-8977626552204439/6561910510,ca-app-pub-8977626552204439/8230215407,ca-app-pub-8977626552204439/1288390779,ca-app-pub-8977626552204439/9734868769,ca-app-pub-8977626552204439/1610235570,ca-app-pub-8977626552204439/3605859437
22,KanjiDrill,Kanji Drill,ca-app-pub-8977626552204439~4949783088,ca-app-pub-8977626552204439~8604165051,ca-app-pub-8977626552204439/5899026532,ca-app-pub-8977626552204439/9283436452,ca-app-pub-8977626552204439/1907810634,ca-app-pub-8977626552204439/7543280698,ca-app-pub-8977626552204439/8974640143,ca-app-pub-8977626552204439/2293681720
23,kuku,Kuku,ca-app-pub-8977626552204439~2436516303,ca-app-pub-8977626552204439~3414905106,ca-app-pub-8977626552204439/7057057938,ca-app-pub-8977626552204439/6213737790,ca-app-pub-8977626552204439/7059915608,ca-app-pub-8977626552204439/3779146143,ca-app-pub-8977626552204439/7270790201,ca-app-pub-8977626552204439/5577869938
24,Kuriagari,Carry Up,ca-app-pub-8977626552204439~3933269109,ca-app-pub-8977626552204439~4972363509,ca-app-pub-8977626552204439/1860378055,ca-app-pub-8977626552204439/7627710054,ca-app-pub-8977626552204439/7631773003,ca-app-pub-8977626552204439/7446928414,ca-app-pub-8977626552204439/5614109519,ca-app-pub-8977626552204439/9577119843
25,NambaRunAway,Namba,ca-app-pub-8977626552204439~3030353106,ca-app-pub-8977626552204439~1414019100,ca-app-pub-8977626552204439/7372445218,ca-app-pub-8977626552204439/4135267157,ca-app-pub-8977626552204439/5065205446,ca-app-pub-8977626552204439/5639920519,ca-app-pub-8977626552204439/7066297149,ca-app-pub-8977626552204439/3757058782
26,Nflags,Robo Flags,ca-app-pub-8977626552204439~8280913501,ca-app-pub-8977626552204439~1105410300,ca-app-pub-8977626552204439/2483391674,ca-app-pub-8977626552204439/6969431595,ca-app-pub-8977626552204439/1361881690,ca-app-pub-8977626552204439/2100248296,ca-app-pub-8977626552204439/4242555190,ca-app-pub-8977626552204439/5735584352
27,Pref,Japan Robo,ca-app-pub-8977626552204439~8850833105,ca-app-pub-8977626552204439~9505137900,ca-app-pub-8977626552204439/6235499073,ca-app-pub-8977626552204439/4392451280,ca-app-pub-8977626552204439/2487825754,ca-app-pub-8977626552204439/9836349655,ca-app-pub-8977626552204439/1093260632,ca-app-pub-8977626552204439/6553486782
28,Proverb,Proverb,ca-app-pub-8977626552204439~2712563102,ca-app-pub-8977626552204439~9339349508,ca-app-pub-8977626552204439/4703261294,ca-app-pub-8977626552204439/8829180892,ca-app-pub-8977626552204439/7484325547,ca-app-pub-8977626552204439/3936974533,ca-app-pub-8977626552204439/7506324425,ca-app-pub-8977626552204439/1627597196
29,Robo Kart,Robo Kart,ca-app-pub-8977626552204439~5309135064,ca-app-pub-8977626552204439~1631606322,ca-app-pub-8977626552204439/1369890054,ca-app-pub-8977626552204439/1561461748,ca-app-pub-8977626552204439/1440034633,ca-app-pub-8977626552204439/2753116302,ca-app-pub-8977626552204439/2357568393,ca-app-pub-8977626552204439/4258083243
30,Roma,Roma-ji,ca-app-pub-8977626552204439~8758591501,ca-app-pub-8977626552204439~1943015100,ca-app-pub-8977626552204439/6196116416,ca-app-pub-8977626552204439/7295437482,ca-app-pub-8977626552204439/3000969251,ca-app-pub-8977626552204439/1113172515,ca-app-pub-8977626552204439/3813162434,ca-app-pub-8977626552204439/3333816135
31,Rooftop,Rooftop,ca-app-pub-8977626552204439~5191329968,ca-app-pub-8977626552204439~1578308810,ca-app-pub-8977626552204439/4999758274,ca-app-pub-8977626552204439/3036117525,ca-app-pub-8977626552204439/4480883525,ca-app-pub-8977626552204439/1914607545,ca-app-pub-8977626552204439/6295316543,ca-app-pub-8977626552204439/7329745353
32,SapporoRunAway,Sapporo,ca-app-pub-8977626552204439~1400665710,ca-app-pub-8977626552204439~6345994341,ca-app-pub-8977626552204439/1325911613,ca-app-pub-8977626552204439/9395973325,ca-app-pub-8977626552204439/5265156620,ca-app-pub-8977626552204439/8274463347,ca-app-pub-8977626552204439/1524349944,ca-app-pub-8977626552204439/8017606103
33,SchoolBasket,School Basket,ca-app-pub-8977626552204439~1973670920,ca-app-pub-8977626552204439~9085874189,ca-app-pub-8977626552204439/3408061732,ca-app-pub-8977626552204439/4912715091,ca-app-pub-8977626552204439/8660388410,ca-app-pub-8977626552204439/2299844253,ca-app-pub-8977626552204439/2857543101,ca-app-pub-8977626552204439/7302950925
34,School English,School English,ca-app-pub-8977626552204439~4757690476,ca-app-pub-8977626552204439~2618051646,ca-app-pub-8977626552204439/4374547093,ca-app-pub-8977626552204439/2496814055,ca-app-pub-8977626552204439/3344536456,ca-app-pub-8977626552204439/4284716050,ca-app-pub-8977626552204439/8189754669,ca-app-pub-8977626552204439/8828064825
35,SchoolFighter,SchoolFighter,ca-app-pub-8977626552204439~8406617104,ca-app-pub-8977626552204439~3836816702,ca-app-pub-8977626552204439/5612311416,ca-app-pub-8977626552204439/9682568309,ca-app-pub-8977626552204439/7116964774,ca-app-pub-8977626552204439/4846024653,ca-app-pub-8977626552204439/8834157464,ca-app-pub-8977626552204439/4703340762
36,SchoolMaze,School Maze,ca-app-pub-8977626552204439~2948799109,ca-app-pub-8977626552204439~8211776218,ca-app-pub-8977626552204439/2880005162,ca-app-pub-8977626552204439/6676791706,ca-app-pub-8977626552204439/3071576854,ca-app-pub-8977626552204439/4242200052,ca-app-pub-8977626552204439/4469953771,ca-app-pub-8977626552204439/9566367780
37,SchoolRunAway,SchoolRunAway,ca-app-pub-8977626552204439~1990940658,ca-app-pub-8977626552204439~9656596111,ca-app-pub-8977626552204439/7828632831,ca-app-pub-8977626552204439/5163898909,ca-app-pub-8977626552204439/2576306158,ca-app-pub-8977626552204439/5920654795,ca-app-pub-8977626552204439/9415583721,ca-app-pub-8977626552204439/7886879633
38,Synonym,2 Kanji,ca-app-pub-8977626552204439~2350033301,ca-app-pub-8977626552204439~4088698371,ca-app-pub-8977626552204439/6465460177,ca-app-pub-8977626552204439/1759928405,ca-app-pub-8977626552204439/9283195202,ca-app-pub-8977626552204439/4577663439,ca-app-pub-8977626552204439/6636181649,ca-app-pub-8977626552204439/4538132388
39,3DMaze,3D Maze Robo,NA,ca-app-pub-8977626552204439~7491157508,NA,ca-app-pub-8977626552204439/8967890707,NA,ca-app-pub-8977626552204439/1444623904,NA,ca-app-pub-8977626552204439/2342414079
